Atlanta;Boston;Cincinnati;Columbus;Dallas;Indianapolis;LittleRock;LosAngeles;Memphis;StLouis;Spokane;Tampa
0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1068;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
461;867;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
549;769;107;0;NA;NA;NA;NA;NA;NA;NA;NA
805;1819;943;1050;0;NA;NA;NA;NA;NA;NA;NA
508;941;108;172;882;0;NA;NA;NA;NA;NA;NA
505;1494;618;725;325;562;0;NA;NA;NA;NA;NA
2197;3052;2186;2245;1403;2080;1701;0;NA;NA;NA;NA
366;1355;502;586;464;436;137;1831;0;NA;NA;NA
558;1178;338;409;645;234;353;1848;294;0;NA;NA
2467;2747;2067;2131;1891;1959;1988;1227;2042;1820;0;NA
467;1379;928;985;1077;975;912;2480;779;1016;2821;0
