Year;Month;Time;TotN_conc
1989;1;1989,041667;6,041350466
1989;2;1989,125;7,644673247
1989;3;1989,208333;6,24278788
1989;4;1989,291667;6,130886818
1989;5;1989,375;5,443720742
1989;6;1989,458333;5,83402135
1989;7;1989,541667;5,19906548
1989;8;1989,625;4,58725553
1989;9;1989,708333;5,33863946
1989;10;1989,791667;6,199149361
1989;11;1989,875;6,289301121
1989;12;1989,958333;7,469686183
1990;1;1990,041667;7,749904963
1990;2;1990,125;5,917596483
1990;3;1990,208333;5,589594751
1990;4;1990,291667;6,040503226
1990;5;1990,375;5,424439827
1990;6;1990,458333;4,418119138
1990;7;1990,541667;3,877115778
1990;8;1990,625;4,683002025
1990;9;1990,708333;5,382035608
1990;10;1990,791667;5,683106917
1990;11;1990,875;5,429789094
1990;12;1990,958333;6,13163339
1991;1;1991,041667;5,505247608
1991;2;1991,125;6,054200704
1991;3;1991,208333;6,436671205
1991;4;1991,291667;5,894453237
1991;5;1991,375;5,65370165
1991;6;1991,458333;4,663303269
1991;7;1991,541667;4,010877197
1991;8;1991,625;3,923295133
1991;9;1991,708333;5,095389979
1991;10;1991,791667;6,089588523
1991;11;1991,875;5,134832208
1991;12;1991,958333;6,136483506
1992;1;1992,041667;6,488676574
1992;2;1992,125;6,864611896
1992;3;1992,208333;6,642186539
1992;4;1992,291667;5,772768979
1992;5;1992,375;4,405942777
1992;6;1992,458333;4,668824185
1992;7;1992,541667;4,234175457
1992;8;1992,625;4,191746968
1992;9;1992,708333;4,425855571
1992;10;1992,791667;5,326360903
1992;11;1992,875;4,924712959
1992;12;1992,958333;4,899400945
1993;1;1993,041667;6,258783707
1993;2;1993,125;6,400872927
1993;3;1993,208333;6,106348683
1993;4;1993,291667;5,164786341
1993;5;1993,375;5,265221935
1993;6;1993,458333;4,56580913
1993;7;1993,541667;3,756198839
1993;8;1993,625;3,405075545
1993;9;1993,708333;3,83145683
1993;10;1993,791667;4,316570416
1993;11;1993,875;4,603892884
1993;12;1993,958333;5,641787987
1994;1;1994,041667;5,487856235
1994;2;1994,125;5,960177292
1994;3;1994,208333;5,47901691
1994;4;1994,291667;5,120780644
1994;5;1994,375;6,015542089
1994;6;1994,458333;4,384266501
1994;7;1994,541667;3,784202672
1994;8;1994,625;3,74307752
1994;9;1994,708333;3,667902203
1994;10;1994,791667;4,101059259
1994;11;1994,875;4,886330139
1994;12;1994,958333;5,078275329
1995;1;1995,041667;4,714439699
1995;2;1995,125;5,026742112
1995;3;1995,208333;4,964814224
1995;4;1995,291667;4,15891916
1995;5;1995,375;3,590599926
1995;6;1995,458333;3,623309156
1995;7;1995,541667;3,68747118
1995;8;1995,625;3,386966014
1995;9;1995,708333;3,849741374
1995;10;1995,791667;4,236903662
1995;11;1995,875;4,315431088
1995;12;1995,958333;5,075580785
1996;1;1996,041667;5,207032944
1996;2;1996,125;5,915521195
1996;3;1996,208333;6,336174342
1996;4;1996,291667;5,612458504
1996;5;1996,375;4,758446939
1996;6;1996,458333;3,814577179
1996;7;1996,541667;3,434522566
1996;8;1996,625;3,208889808
1996;9;1996,708333;3,376170319
1996;10;1996,791667;3,482869122
1996;11;1996,875;4,514495648
1996;12;1996,958333;4,590535187
1997;1;1997,041667;4,544721338
1997;2;1997,125;5,276026557
1997;3;1997,208333;5,129179822
1997;4;1997,291667;3,250056861
1997;5;1997,375;3,864562168
1997;6;1997,458333;3,949962698
1997;7;1997,541667;3,429436066
1997;8;1997,625;2,53905395
1997;9;1997,708333;3,728224284
1997;10;1997,791667;3,81454712
1997;11;1997,875;4,150174169
1997;12;1997,958333;4,925771696
1998;1;1998,041667;4,961982498
1998;2;1998,125;5,322026135
1998;3;1998,208333;5,170698999
1998;4;1998,291667;5,69052895
1998;5;1998,375;4,00687724
1998;6;1998,458333;3,583975007
1998;7;1998,541667;3,123925212
1998;8;1998,625;3,316857103
1998;9;1998,708333;4,000147538
1998;10;1998,791667;4,115782225
1998;11;1998,875;4,093820126
1998;12;1998,958333;4,817840146
1999;1;1999,041667;4,981244878
1999;2;1999,125;4,808070544
1999;3;1999,208333;4,235456406
1999;4;1999,291667;4,013696093
1999;5;1999,375;3,060067658
1999;6;1999,458333;2,490026748
1999;7;1999,541667;2,769402142
1999;8;1999,625;3,132369693
1999;9;1999,708333;3,1354279
1999;10;1999,791667;2,871278926
1999;11;1999,875;2,005889226
1999;12;1999,958333;2,793697281
2000;1;2000,041667;3,465494868
2000;2;2000,125;3,766859864
2000;3;2000,208333;4,055920764
2000;4;2000,291667;3,947083753
2000;5;2000,375;2,749233192
2000;6;2000,458333;2,806761917
2000;7;2000,541667;3,092465937
2000;8;2000,625;2,659725626
2000;9;2000,708333;2,999361421
2000;10;2000,791667;3,513608866
2000;11;2000,875;3,762708955
2000;12;2000,958333;3,801767768
2001;1;2001,041667;3,97866428
2001;2;2001,125;4,103223254
2001;3;2001,208333;3,626120941
2001;4;2001,291667;3,613858647
2001;5;2001,375;2,921953617
2001;6;2001,458333;2,235933443
2001;7;2001,541667;2,639465796
2001;8;2001,625;2,137552185
2001;9;2001,708333;2,433025854
2001;10;2001,791667;2,700991787
2001;11;2001,875;3,674497604
2001;12;2001,958333;4,1211714
2002;1;2002,041667;4,389075443
2002;2;2002,125;4,343130068
2002;3;2002,208333;3,834478049
2002;4;2002,291667;3,784859332
2002;5;2002,375;3,579228554
2002;6;2002,458333;3,864863837
2002;7;2002,541667;2,765386828
2002;8;2002,625;3,185140171
2002;9;2002,708333;3,253868761
2002;10;2002,791667;2,893696475
2002;11;2002,875;3,041279129
2002;12;2002,958333;3,134134563
